rk,player,nation,pos,squad,age,born,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,standard_sh,standard_sot,standard_sotpct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,expected_npxg_sh,expected_g-xg,total_cmp,total_cmppct,total_totdist,total_prgdist,short_cmp,short_cmppct,medium_cmp,medium_cmppct,long_cmp,long_att,long_cmppct,expected_xa,expected_a-xag,kp,1_3,ppa,crspa,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tklpct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,take-ons_att,take-ons_succ,take-ons_succpct,take-ons_tkld,take-ons_tkldpct,carries_carries,carries_totdist,carries_prgdist,carries_1_3,carries_cpa,carries_mis,carries_dis,playing_time_mn_mp,playing_time_minpct,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+_-,team_success_+_-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+_-,team_success_(xg)_xg+_-90,team_success_(xg)_on-off,squad_playing_time,performance_2crdy,performance_fls,performance_fld,performance_off,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_wonpct,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg+_-,expected_90,launched_cmp,launched_att,launched_cmppct,passes_att_(gk),passes_thr,passes_launchpct,passes_avglen,goal_kicks_att,goal_kicks_launchpct,crosses_opp,crosses_stp,crosses_stppct,sweeper_#opa,sweeper_#opa_90,sweeper_avgdist,playing_time_mp_advanced_gk,performance_ga90,performance_savepct,performance_w,performance_d,performance_l,performance_cs,performance_cspct,penalty_kicks_pkatt,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_savepct,league
0.01,Brenden Aaronson,us USA,FW,Leeds United,24-351,2000,0.07,0.04,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.07,0.13,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.38,0.02,0.01,0.00,0.00,0.15,0.00,0.00,-0.01,0.86,0.79,11.67,2.61,0.48,0.87,0.32,0.80,0.01,0.04,0.25,0.01,-0.01,0.05,0.08,0.03,0.00,0.10,0.02,0.01,0.00,0.06,0.04,0.00,0.00,0.00,0.00,0.02,0.02,0.12,0.03,0.08,0.00,0.00,0.03,0.00,0.01,0.03,0.01,0.01,0.00,0.00,0.02,0.00,0.00,0.13,0.09,0.06,0.05,0.02,0.09,0.18,0.50,0.09,0.07,0.00,0.07,0.02,0.15,0.08,0.00,0.04,0.37,0.67,0.79,0.11,0.09,0.04,0.44,0.05,0.56,0.91,5.55,2.46,0.05,0.00,0.16,0.10,0.57,0.63,0.79,0.00,0.03,0.27,0.00,0.01,0.07,0.05,0.02,0.00,0.03,0.06,0.05,0.01,0.00,0.01,Leeds United,0.00,0.03,0.13,0.00,0.00,0.00,0.00,0.18,0.03,0.05,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.02,Joshua Acheampong,eng ENG,DF,Chelsea,19-156,2006,0.03,0.02,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,-0.00,1.35,0.89,22.61,4.41,0.58,0.92,0.75,0.95,0.02,0.08,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0.01,0.02,0.50,0.01,0.02,0.00,0.02,0.03,0.05,0.07,0.03,0.14,0.70,0.93,0.07,0.02,0.05,0.04,0.80,0.00,0.00,1.17,5.56,2.57,0.02,0.00,0.00,0.02,0.65,0.31,0.79,0.01,0.01,0.37,0.03,0.01,0.01,0.04,-0.03,-0.01,-0.03,0.02,0.04,-0.02,-0.01,-0.02,Chelsea,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.09,0.06,0.02,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.03,Tyler Adams,us USA,MF,Bournemouth,26-236,1999,0.07,0.07,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.31,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.80,0.01,0.01,0.00,0.00,0.21,0.00,0.00,-0.00,2.86,0.83,49.35,12.67,1.24,0.87,1.41,0.90,0.19,0.29,0.66,0.00,0.00,0.01,0.29,0.00,0.00,0.15,0.15,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.01,0.06,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.18,0.10,0.09,0.08,0.01,0.11,0.20,0.55,0.09,0.10,0.03,0.07,0.15,0.33,0.11,0.00,0.22,1.14,2.52,0.60,0.04,0.06,0.02,0.33,0.03,0.50,2.12,9.99,4.99,0.07,0.00,0.07,0.01,0.86,0.96,0.86,0.03,0.00,0.00,0.00,0.02,0.07,0.07,0.00,0.00,-0.10,0.07,0.06,0.01,0.00,-0.02,Bournemouth,0.00,0.08,0.08,0.01,0.00,0.00,0.00,0.36,0.04,0.06,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.04,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-014,1997,0.04,0.03,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,3.14,0.90,57.39,19.90,1.02,0.94,1.94,0.94,0.16,0.28,0.57,0.00,0.00,0.00,0.17,0.01,0.00,0.19,0.07,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.03,0.02,0.00,0.01,0.02,0.50,0.01,0.03,0.02,0.01,0.05,0.10,0.25,0.00,0.52,1.91,1.91,0.07,0.02,0.00,0.00,0.00,0.00,0.00,2.02,8.81,5.36,0.01,0.00,0.01,0.00,0.89,0.56,0.90,0.03,0.01,0.84,0.00,0.02,0.10,0.05,0.05,0.01,0.02,0.07,0.05,0.02,0.00,0.01,Chelsea,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.13,0.17,0.08,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.05,Simon Adingra,ci CIV,FW,Sunderland,23-280,2002,0.06,0.04,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.06,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,-0.00,0.48,0.70,8.03,0.94,0.22,0.79,0.20,0.91,0.03,0.07,0.43,0.00,-0.01,0.05,0.00,0.04,0.02,0.01,0.00,0.01,0.00,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.03,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.02,0.01,0.02,0.03,0.67,0.01,0.01,0.00,0.01,0.00,0.04,0.05,0.00,0.03,0.13,0.35,0.55,0.03,0.09,0.04,0.44,0.04,0.44,0.73,4.10,2.01,0.01,0.01,0.05,0.07,0.46,0.43,0.60,0.00,0.02,0.16,0.01,0.02,0.04,0.04,0.00,0.00,-0.00,0.04,0.03,0.01,0.00,0.01,Sunderland,0.00,0.05,0.03,0.03,0.00,0.00,0.00,0.07,0.03,0.05,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.06,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-151,2000,0.05,0.01,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,1.00,0.01,0.01,0.00,0.00,0.24,0.01,0.00,-0.00,0.54,0.73,7.48,1.76,0.34,0.90,0.15,0.75,0.03,0.06,0.50,0.00,-0.00,0.04,0.01,0.01,0.00,0.06,0.00,0.01,0.01,0.07,0.04,0.02,0.02,0.00,0.00,0.00,0.04,0.08,0.05,0.05,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.04,0.03,0.03,0.06,0.08,0.75,0.02,0.05,0.01,0.04,0.02,0.12,0.04,0.00,0.02,0.23,0.35,0.52,0.05,0.07,0.03,0.43,0.04,0.57,0.56,3.36,2.05,0.04,0.00,0.02,0.02,0.30,0.24,0.59,0.00,0.04,0.23,0.01,0.02,0.01,0.02,-0.01,-0.01,-0.01,0.01,0.02,-0.00,-0.00,-0.01,Bournemouth,0.00,0.04,0.06,0.00,0.00,0.00,0.00,0.14,0.03,0.03,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.07,Emmanuel Agbadou,ci CIV,DF,Wolves,28-113,1997,0.07,0.05,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.26,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.33,0.01,0.00,0.00,0.00,0.22,0.01,0.00,-0.00,2.87,0.79,64.43,25.78,0.73,0.90,1.73,0.89,0.39,0.81,0.48,0.00,-0.00,0.02,0.36,0.05,0.02,0.23,0.12,0.01,0.03,0.08,0.10,0.00,0.00,0.00,0.00,0.01,0.04,0.07,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.07,0.06,0.01,0.09,0.13,0.69,0.04,0.11,0.10,0.01,0.05,0.19,0.34,0.02,0.59,2.03,2.05,0.33,0.05,0.01,0.01,1.00,0.00,0.00,2.43,12.24,5.62,0.07,0.00,0.07,0.02,0.75,0.83,0.90,0.05,0.02,0.38,0.00,0.00,0.04,0.14,-0.10,-0.02,-0.03,0.05,0.08,-0.03,-0.00,-0.00,Wolves,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.29,0.15,0.07,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.08,Nayef Aguerd,ma MAR,DF,West Ham,29-192,1996,0.02,0.02,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.00,-0.00,1.06,0.89,17.31,6.63,0.52,0.98,0.47,0.96,0.05,0.13,0.39,0.00,0.00,0.00,0.12,0.00,0.00,0.06,0.02,0.00,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.02,0.01,0.02,0.11,0.00,0.14,0.62,0.72,0.09,0.02,0.01,0.01,1.00,0.00,0.00,0.71,4.05,2.22,0.02,0.00,0.01,0.00,0.90,0.29,0.90,0.02,0.00,0.00,0.00,0.00,0.01,0.08,-0.07,-0.04,-0.03,0.01,0.04,-0.02,-0.01,-0.01,West Ham,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.08,0.04,0.03,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.09,Ola Aina,ng NGA,DF,Nott'ham Forest,29-000,1996,0.03,0.03,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.25,0.00,0.00,0.00,1.25,0.80,21.61,9.62,0.58,0.98,0.56,0.80,0.09,0.21,0.43,0.00,-0.00,0.02,0.13,0.02,0.01,0.26,0.05,0.00,0.01,0.13,0.20,0.01,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.02,0.02,0.02,0.04,0.04,1.00,0.00,0.01,0.00,0.01,0.05,0.11,0.14,0.00,0.13,0.70,0.75,0.62,0.03,0.11,0.03,0.27,0.08,0.73,0.82,3.62,2.12,0.04,0.01,0.00,0.05,0.90,0.43,0.90,0.03,0.00,0.00,0.00,0.01,0.04,0.05,-0.01,-0.00,0.01,0.04,0.05,-0.01,-0.00,0.01,Nott'ham Forest,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.20,0.04,0.02,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
0.10,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-124,2001,0.03,0.03,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.25,0.00,0.00,0.00,1.05,0.87,15.29,3.85,0.64,0.90,0.39,0.97,0.02,0.05,0.40,0.01,-0.00,0.02,0.06,0.00,0.00,0.21,0.02,0.00,0.00,0.02,0.19,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.07,0.02,0.00,0.03,0.07,0.43,0.04,0.04,0.00,0.04,0.05,0.14,0.09,0.00,0.10,0.60,0.65,0.39,0.02,0.06,0.01,0.17,0.05,0.83,0.75,3.85,1.60,0.02,0.00,0.04,0.02,0.67,0.32,0.67,0.02,0.00,0.00,0.00,0.01,0.05,0.02,0.03,0.01,0.00,0.04,0.03,0.01,0.01,-0.00,Manchester City,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.08,0.03,0.02,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier League
