player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Simon Adingra,ci CIV,FW,23,273.0,Sunderland,Playmaker,False,False,False,0.0501,-0.1825,0.1604,0.2163,-0.38
Carlos Alcaraz,ar ARG,"MF,FW",22,165.0,Everton,Dribbler,False,True,False,0.0689,0.1944,0.5327,0.3771,0.0567
Elliot Anderson,eng ENG,MF,22,630.0,Nott'ham Forest,Dribbler,False,True,False,0.0836,-0.3452,0.8294,0.8014,-0.06
Yasin Ayari,se SWE,MF,22,544.0,Brighton,Volume Shooter,False,True,False,0.0701,0.6127,-0.1863,-0.0626,0.6167
Dilane Bakwa,fr FRA,"FW,MF",23,174.0,Nott'ham Forest,Finisher,False,False,False,0.0567,0.4325,-0.2606,0.0437,0.0267
Carlos Baleba,cm CMR,MF,21,353.0,Brighton,Dribbler,False,False,False,0.0452,-0.127,0.1511,0.0437,-0.2367
Thierno Barry,fr FRA,FW,22,211.0,Everton,Volume Shooter,False,False,False,0.034,-0.4048,-0.3791,-0.0674,0.08
Lucas Bergvall,se SWE,MF,19,365.0,Tottenham,Finisher,False,True,False,0.0776,0.8333,0.6919,0.2435,-0.08
Oscar Bobb,no NOR,"FW,MF",22,362.0,Manchester City,Playmaker,False,True,True,0.1094,-0.2937,1.2523,1.7541,-0.3233
Lamare Bogarde,nl NED,MF,21,281.0,Aston Villa,Playmaker,False,False,False,0.0213,-0.127,-0.6905,-0.0095,-0.49
Hugo Bueno,es ESP,"DF,MF",23,440.0,Wolves,Dribbler,False,True,False,0.0714,-0.1032,0.6898,0.4326,-0.3533
Moisés Caicedo,ec ECU,MF,23,630.0,Chelsea,Finisher,False,True,False,0.0707,2.3325,-0.0231,-0.0201,-0.11
Fabio Carvalho,pt POR,"FW,MF",23,97.0,Brentford,Finisher,False,True,False,0.0727,1.5198,-0.2617,0.3735,0.13
